woorden,lettergrepen,aantal lettergrepen
fraunhoferlijnen,"['fraun', 'ho', 'fer', 'lij', 'nen']",5
programmetje,"['pro', 'gram', 'me', 'tje']",4
bultrundje,"['bult', 'rund', 'je']",3
snaarinstrumenten,"['snaar', 'in', 'stru', 'men', 'ten']",5
tabaksfabrikant,"['ta', 'baks', 'fa', 'bri', 'kant']",5
pappa,"['pap', 'pa']",2
inkalven,"['in', 'kal', 'ven']",3
bijgerecht,"['bij', 'ge', 'recht']",3
systeemtherapeut,"['sys', 'teem', 'the', 'ra', 'peut']",5
ontketenen,"['ont', 'ke', 'te', 'nen']",4
tekensets,"['te', 'ken', 'sets']",3
verslaafd,"['ver', 'slaafd']",2
sapfisch,"['sap', 'fisch']",2
vreemdelingenangst,"['vreem', 'de', 'lin', 'gen', 'angst']",5
moquette,"['mo', 'quet', 'te']",3
propaan,"['pro', 'paan']",2
geslachtsverkeer,"['ge', 'slachts', 'ver', 'keer']",4
Frans-Zwitsersere,"['Frans-Zwit', 'ser', 'se', 're']",4
tasvormigere,"['tas', 'vor', 'mi', 'ge', 're']",5
kooilui,"['kooi', 'lui']",2
zeefdrukkers,"['zeef', 'druk', 'kers']",3
Reto-Romaans,"['Re', 'to-Ro', 'maans']",3
spotachtig,"['spot', 'ach', 'tig']",3
ragfijn,"['rag', 'fijn']",2
vermenigvuldigde,"['ver', 'me', 'nig', 'vul', 'dig', 'de']",6
verdwaaldste,"['ver', 'dwaald', 'ste']",3
posten,"['pos', 'ten']",2
affidavit,"['af', 'fi', 'da', 'vit']",4
deserteur,"['de', 'ser', 'teur']",3
afwasautomaat,"['af', 'was', 'au', 'to', 'maat']",5
klierige,"['klie', 'ri', 'ge']",3
managerskring,"['ma', 'na', 'gers', 'kring']",4
citaat,"['ci', 'taat']",2
acrylzuur,"['acryl', 'zuur']",2
slibber,"['slib', 'ber']",2
cultuurwethouders,"['cul', 'tuur', 'wet', 'hou', 'ders']",5
taalontwikkelingsstoornis,"['taal', 'ont', 'wik', 'ke', 'lings', 'stoor', 'nis']",7
kustwachter,"['kust', 'wach', 'ter']",3
overreedde,"['over', 'reed', 'de']",3
televisiemeubeltjes,"['te', 'le', 'vi', 'sie', 'meu', 'bel', 'tjes']",7
kiloliter,"['ki', 'lo', 'li', 'ter']",4
staan,['staan'],1
leek,['leek'],1
stuurnaven,"['stuur', 'na', 'ven']",3
supertofs,"['su', 'per', 'tofs']",3
transportere,"['trans', 'por', 'te', 're']",4
urgenter,"['ur', 'gen', 'ter']",3
Caelum,"['Cae', 'lum']",2
inwachtend,"['in', 'wach', 'tend']",3
denkster,"['denk', 'ster']",2
waardoorheen,"['waar', 'door', 'heen']",3
Hoava,"['Ho', 'a', 'va']",3
zelfbedieningskapitalisme,"['zelf', 'be', 'die', 'nings', 'ka', 'pi', 'ta', 'lis', 'me']",9
regeringsfractie,"['re', 'ge', 'rings', 'frac', 'tie']",5
rekenen,"['re', 'ke', 'nen']",3
on-Engels,"['on-En', 'gels']",2
alle drie,"['al', 'le', 'drie']",3
collectricetje,"['col', 'lec', 'tri', 'ce', 'tje']",5
roezemoes,"['roe', 'ze', 'moes']",3
opvegend,"['op', 've', 'gend']",3
Hawaïaans,"['Ha', 'waï', 'aans']",3
baro-,"['ba', 'ro-']",2
pakketoverzichtjes,"['pak', 'ket', 'over', 'zicht', 'jes']",5
betrekkelijk,"['be', 'trek', 'ke', 'lijk']",4
zeeschuim,"['zee', 'schuim']",2
uurloner,"['uur', 'lo', 'ner']",3
achtersteventje,"['ach', 'ter', 'ste', 'ven', 'tje']",5
synonymie,"['sy', 'no', 'ny', 'mie']",4
moesson,"['moes', 'son']",2
oplosbaar,"['op', 'los', 'baar']",3
ruimtekromme,"['ruim', 'te', 'krom', 'me']",4
zandgroeve,"['zand', 'groe', 've']",3
ervaringsdeskundigen,"['er', 'va', 'rings', 'des', 'kun', 'di', 'gen']",7
hippies,"['hip', 'pies']",2
vlag,['vlag'],1
beneficiums,"['be', 'ne', 'fi', 'ci', 'ums']",5
mentholsigaretje,"['men', 'thol', 'si', 'ga', 'ret', 'je']",6
notitieboek,"['no', 'ti', 'tie', 'boek']",4
ontgroeien,"['ont', 'groei', 'en']",3
straktrekkend,"['strak', 'trek', 'kend']",3
grotematenwinkel,"['gro', 'te', 'ma', 'ten', 'win', 'kel']",6
gedver,"['ged', 'ver']",2
kwakzalven,"['kwak', 'zal', 'ven']",3
betekend,"['be', 'te', 'kend']",3
sla,['sla'],1
aanraakschermpjes,"['aan', 'raak', 'scherm', 'pjes']",4
hergebruikers,"['her', 'ge', 'brui', 'kers']",4
turf,['turf'],1
nagedaan,"['na', 'ge', 'daan']",3
behalve,"['be', 'hal', 've']",3
paaiperiode,"['paai', 'pe', 'ri', 'o', 'de']",5
factoring,"['fac', 'to', 'ring']",3
melkman,"['melk', 'man']",2
bronchie,"['bron', 'chie']",2
vergrotende trap,"['ver', 'gro', 'ten', 'de', 'trap']",5
eïsis,['eïsis'],1
sinterklaaspapier,"['sin', 'ter', 'klaas', 'pa', 'pier']",5
liesjes,"['lies', 'jes']",2
vocalisten,"['vo', 'ca', 'lis', 'ten']",4
zwaarmoedige,"['zwaar', 'moe', 'di', 'ge']",4
tweetallig,"['twee', 'tal', 'lig']",3
zakenvrouw,"['za', 'ken', 'vrouw']",3
alkalien,"['al', 'ka', 'lien']",3
kop,['kop'],1
vrijheden,"['vrij', 'he', 'den']",3
ondichters,"['on', 'dich', 'ters']",3
plichtsgetrouwere,"['plichts', 'ge', 'trou', 'we', 're']",5
onverantwoordste,"['on', 'ver', 'ant', 'woord', 'ste']",5
waterkoelertje,"['wa', 'ter', 'koe', 'ler', 'tje']",5
raapkoekje,"['raap', 'koek', 'je']",3
heteronomie,"['he', 'te', 'ro', 'no', 'mie']",5
actuarieel,"['ac', 'tu', 'a', 'ri', 'eel']",5
gouden,"['gou', 'den']",2
voorzorgsbeginsel,"['voor', 'zorgs', 'be', 'gin', 'sel']",5
quadriljard,"['qua', 'dril', 'jard']",3
thermoluminescentie,"['ther', 'mo', 'lu', 'mi', 'nes', 'cen', 'tie']",7
facetimen,"['face', 'ti', 'men']",3
gaan op,"['gaan', 'op']",2
rij zwart,"['rij', 'zwart']",2
winkelend,"['win', 'ke', 'lend']",3
ontrouw,"['on', 'trouw']",2
wegkwijnen,"['weg', 'kwij', 'nen']",3
Turks,['Turks'],1
verharen,"['ver', 'ha', 'ren']",3
groente,"['groen', 'te']",2
naglans,"['na', 'glans']",2
nieuwsblog,"['nieuws', 'blog']",2
Pasen,"['Pa', 'sen']",2
interview,"['in', 'ter', 'view']",3
elektron,"['elek', 'tron']",2
bijlenen,"['bij', 'le', 'nen']",3
abortuskliniekjes,"['abor', 'tus', 'kli', 'niek', 'jes']",5
onderwerpen,"['on', 'der', 'wer', 'pen']",4
donaties,"['do', 'na', 'ties']",3
AJC,['AJC'],1
Quiteen,"['Qui', 'teen']",2
roepe,"['roe', 'pe']",2
zeskoppige,"['zes', 'kop', 'pi', 'ge']",4
gisterochtend,"['gis', 'ter', 'och', 'tend']",4
afsloffen,"['af', 'slof', 'fen']",3
levensduur,"['le', 'vens', 'duur']",3
Catalonië,"['Ca', 'ta', 'lo', 'nië']",4
Burundi,"['Bu', 'run', 'di']",3
schoon-,['schoon-'],1
kantoorlucht,"['kan', 'toor', 'lucht']",3
duizendvoud,"['dui', 'zend', 'voud']",3
fiatteren,"['fi', 'at', 'te', 'ren']",4
ijsvogeltjes,"['ijs', 'vo', 'gel', 'tjes']",4
taxatie,"['taxa', 'tie']",2
xenomorf,"['xe', 'no', 'morf']",3
siamang,"['si', 'a', 'mang']",3
Looise,"['Looi', 'se']",2
Unix,['Unix'],1
volgoten,"['vol', 'go', 'ten']",3
quadrofonisch,"['qua', 'dro', 'fo', 'nisch']",4
efedrine,"['efe', 'dri', 'ne']",3
aptagrammen,"['ap', 'ta', 'gram', 'men']",4
bompakketten,"['bom', 'pak', 'ket', 'ten']",4
malm,['malm'],1
aantastbaar,"['aan', 'tast', 'baar']",3
sectarischer,"['sec', 'ta', 'ri', 'scher']",4
stormvrije,"['storm', 'vrije']",2
betaalmiddeltjes,"['be', 'taal', 'mid', 'del', 'tjes']",5
lubriek,"['lu', 'briek']",2
bibliografisch,"['bi', 'blio', 'gra', 'fisch']",4
gindse,"['gind', 'se']",2
omheining,"['om', 'hei', 'ning']",3
luilak,"['lui', 'lak']",2
ontbijtgraantje,"['ont', 'bijt', 'graan', 'tje']",4
ezelinnetjes,"['eze', 'lin', 'ne', 'tjes']",4
overhevelen,"['over', 'he', 've', 'len']",4
sprayen,"['spray', 'en']",2
vastgestaan,"['vast', 'ge', 'staan']",3
beat,['beat'],1
weefsel,"['weef', 'sel']",2
nationaliteitsbeginsels,"['na', 'ti', 'o', 'na', 'li', 'teits', 'be', 'gin', 'sels']",9
zalencentrum,"['za', 'len', 'cen', 'trum']",4
corpsstudentjes,"['corps', 'stu', 'dent', 'jes']",4
elektriciteitsprijs,"['elek', 'tri', 'ci', 'teits', 'prijs']",5
centikatals,"['cen', 'ti', 'ka', 'tals']",4
Nieuw-Zuid-Wales,"['Nieuw-Zuid-Wa', 'les']",2
werkwillig,"['werk', 'wil', 'lig']",3
FAQ-lijst,['FAQ-lijst'],1
pijlomlaagtoets,"['pijl', 'om', 'laag', 'toets']",4
gemotiveerds,"['ge', 'mo', 'ti', 'veerds']",4
forum,"['fo', 'rum']",2
kuiperij,"['kui', 'pe', 'rij']",3
staffel,"['staf', 'fel']",2
wellen,"['wel', 'len']",2
busbaan,"['bus', 'baan']",2
posthoorntje,"['post', 'hoorn', 'tje']",3
kelderden,"['kel', 'der', 'den']",3
brabbelend,"['brab', 'be', 'lend']",3
miss twiggy,"['miss', 'twig', 'gy']",3
lelietje-van-dalen,"['le', 'lie', 'tje-van-da', 'len']",4
aandelenmarkt,"['aan', 'de', 'len', 'markt']",4
tussentalen,"['tus', 'sen', 'ta', 'len']",4
circumfix,"['cir', 'cum', 'fix']",3
zuigzijdes,"['zuig', 'zij', 'des']",3
klassebakjes,"['klas', 'se', 'bak', 'jes']",4
terugbrengpremie,"['te', 'rug', 'breng', 'pre', 'mie']",5
configureerden,"['con', 'fi', 'gu', 'reer', 'den']",5
fraai,['fraai'],1
concludente,"['con', 'clu', 'den', 'te']",4
sequoiaboom,"['se', 'quoia', 'boom']",3
galappeltjes,"['gal', 'ap', 'pel', 'tjes']",4
rikken,"['rik', 'ken']",2
smoorden,"['smoor', 'den']",2
wegstreek,"['weg', 'streek']",2
zodoende,"['zo', 'doen', 'de']",3
voornaam,"['voor', 'naam']",2
Singaporese dollar,"['Sin', 'ga', 'po', 're', 'se', 'dol', 'lar']",7
dictum,"['dic', 'tum']",2
kardelen,"['kar', 'de', 'len']",3
sjeiks,['sjeiks'],1
zijspancross,"['zij', 'span', 'cross']",3
aanbijten,"['aan', 'bij', 'ten']",3
sleutelen,"['sleu', 'te', 'len']",3
chartaal,"['char', 'taal']",2
plichtige,"['plich', 'ti', 'ge']",3
achterafstraatjes,"['ach', 'ter', 'af', 'straat', 'jes']",5
antwoordapparaat,"['ant', 'woord', 'ap', 'pa', 'raat']",5
dos,['dos'],1
jaarvogel,"['jaar', 'vo', 'gel']",3
palmpit,"['palm', 'pit']",2
brandweervrouwtje,"['brand', 'weer', 'vrouw', 'tje']",4
Kamerverkiezingen,"['Ka', 'mer', 'ver', 'kie', 'zin', 'gen']",6
gechloreerd,"['ge', 'chlo', 'reerd']",3
camping,"['cam', 'ping']",2
simmetjes,"['sim', 'me', 'tjes']",3
evenzoveel,"['even', 'zo', 'veel']",3
vorige,"['vo', 'ri', 'ge']",3
kasseiwegjes,"['kas', 'sei', 'weg', 'jes']",4
stijfkop,"['stijf', 'kop']",2
gezweed,"['ge', 'zweed']",2
lijflied,"['lijf', 'lied']",2
muurleeuwenbek,"['muur', 'leeu', 'wen', 'bek']",4
chauffeurtjes,"['chauf', 'feur', 'tjes']",3
longtoppen,"['long', 'top', 'pen']",3
tussenkopjes,"['tus', 'sen', 'kop', 'jes']",4
koine,"['koi', 'ne']",2
startkabeltjes,"['start', 'ka', 'bel', 'tjes']",4
klimaatspijbelaar,"['kli', 'maat', 'spij', 'be', 'laar']",5
jachtgeweertje,"['jacht', 'ge', 'weer', 'tje']",4
mensvisie,"['mens', 'vi', 'sie']",3
xenohormoon,"['xe', 'no', 'hor', 'moon']",4
tegenstrijdigheid,"['te', 'gen', 'strij', 'dig', 'heid']",5
zandkopje,"['zand', 'kop', 'je']",3
museumkranten,"['mu', 'se', 'um', 'kran', 'ten']",5
knijpt toe,"['knijpt', 'toe']",2
sloofjes,"['sloof', 'jes']",2
surveillanceprogramma,"['sur', 'veil', 'lan', 'ce', 'pro', 'gram', 'ma']",7
vooruit,"['voor', 'uit']",2
baasde,"['baas', 'de']",2
keurteken,"['keur', 'te', 'ken']",3
excentriciteiten,"['ex', 'cen', 'tri', 'ci', 'tei', 'ten']",6
ontdekkingsreizen,"['ont', 'dek', 'kings', 'rei', 'zen']",5
poolcirkel,"['pool', 'cir', 'kel']",3
stoepkrijt,"['stoep', 'krijt']",2
loodvervuiling,"['lood', 'ver', 'vui', 'ling']",4
stroomnet,"['stroom', 'net']",2
fruittest,"['fruit', 'test']",2
faalrisico's,"['faal', 'ri', 'si', ""co's""]",4
klim op,"['klim', 'op']",2
wont aan,"['wont', 'aan']",2
pantsermeervalletjes,"['pant', 'ser', 'meer', 'val', 'le', 'tjes']",6
aandoeninkje,"['aan', 'doe', 'nin', 'kje']",4
fee,['fee'],1
hygrometer,"['hy', 'gro', 'me', 'ter']",4
cabaretier,"['ca', 'ba', 're', 'tier']",4
kunsttaal,"['kunst', 'taal']",2
kindergeblèr,"['kin', 'der', 'ge', 'blèr']",4
acceleratietje,"['ac', 'ce', 'le', 'ra', 'tie', 'tje']",6
bunkerlinie,"['bun', 'ker', 'li', 'nie']",4
doorzetter,"['door', 'zet', 'ter']",3
vastkoekend,"['vast', 'koe', 'kend']",3
verworden,"['ver', 'wor', 'den']",3
opdrachtgever,"['op', 'dracht', 'ge', 'ver']",4
aandachttrekker,"['aan', 'dacht', 'trek', 'ker']",4
dubbelelpees,"['dub', 'bel', 'el', 'pees']",4
Texanen,"['Texa', 'nen']",2
uitburgerend,"['uit', 'bur', 'ge', 'rend']",4
ossenstallen,"['os', 'sen', 'stal', 'len']",4
rode ibis,"['ro', 'de', 'ibis']",3
stokschroef,"['stok', 'schroef']",2
achtvlakkig,"['acht', 'vlak', 'kig']",3
ongevoelig,"['on', 'ge', 'voe', 'lig']",4
beroepsjournalist,"['be', 'roeps', 'jour', 'na', 'list']",5
gebuut,"['ge', 'buut']",2
spannen,"['span', 'nen']",2
spraak,['spraak'],1
rekeningetjes,"['re', 'ke', 'nin', 'ge', 'tjes']",5
Nederland,"['Ne', 'der', 'land']",3
geneeskruiden,"['ge', 'nees', 'krui', 'den']",4
alfabet,"['al', 'fa', 'bet']",3
maniok,"['ma', 'ni', 'ok']",3
winkelwaarde,"['win', 'kel', 'waar', 'de']",4
examencommissie,"['exa', 'men', 'com', 'mis', 'sie']",5
foutmarge,"['fout', 'mar', 'ge']",3
generfde,"['ge', 'nerf', 'de']",3
kinderblok,"['kin', 'der', 'blok']",3
microvolt,"['mi', 'cro', 'volt']",3
gevorkter,"['ge', 'vork', 'ter']",3
boorschip,"['boor', 'schip']",2
kinderjaren,"['kin', 'der', 'ja', 'ren']",4
vroon,['vroon'],1
kauwen,"['kau', 'wen']",2
ging aan,"['ging', 'aan']",2
aartshertogin,"['aarts', 'her', 'to', 'gin']",4
strandwachten,"['strand', 'wach', 'ten']",3
Bastenaken,"['Bas', 'te', 'na', 'ken']",4
derde naamval,"['der', 'de', 'naam', 'val']",4
abscis,"['ab', 'scis']",2
kookwekker,"['kook', 'wek', 'ker']",3
teerballetjes,"['teer', 'bal', 'le', 'tjes']",4
perversiteit,"['per', 'ver', 'si', 'teit']",4
as,['as'],1
regering,"['re', 'ge', 'ring']",3
hoofdlettergevoeligheid,"['hoofd', 'let', 'ter', 'ge', 'voe', 'lig', 'heid']",7
bibliotheekbus,"['bi', 'blio', 'theek', 'bus']",4
doelgerichter,"['doel', 'ge', 'rich', 'ter']",4
blokkerende,"['blok', 'ke', 'ren', 'de']",4
grap,['grap'],1
verkoopt door,"['ver', 'koopt', 'door']",3
gigawatt,"['gi', 'ga', 'watt']",3
zat,['zat'],1
introduceerden,"['in', 'tro', 'du', 'ceer', 'den']",5
drageetjes,"['dra', 'gee', 'tjes']",3
pijlkruidkers,"['pijl', 'kruid', 'kers']",3
reusjes,"['reus', 'jes']",2
meedrinkend,"['mee', 'drin', 'kend']",3
bekanen,"['be', 'ka', 'nen']",3
bioscoop,"['bio', 'scoop']",2
klagerigst,"['kla', 'ge', 'rigst']",3
divinatie,"['di', 'vi', 'na', 'tie']",4
klauwvormige,"['klauw', 'vor', 'mi', 'ge']",4
neerknallen,"['neer', 'knal', 'len']",3
schaaklesjes,"['schaak', 'les', 'jes']",3
vloedgolf,"['vloed', 'golf']",2
bastonen,"['bas', 'to', 'nen']",3
verdijde,"['ver', 'dij', 'de']",3
besmeurd,"['be', 'smeurd']",2
decaan,"['de', 'caan']",2
geroeid,"['ge', 'roeid']",2
tyfoon,"['ty', 'foon']",2
CAO,['CAO'],1
kaartspel,"['kaart', 'spel']",2
1 aprilmop,"['1', 'april', 'mop']",3
hematogenese,"['he', 'ma', 'to', 'ge', 'ne', 'se']",6
mannendecolletés,"['man', 'nen', 'de', 'col', 'le', 'tés']",6
begiet,"['be', 'giet']",2
slijmjurk,"['slijm', 'jurk']",2
eekhoornmarmotten,"['eek', 'hoorn', 'mar', 'mot', 'ten']",5
bosaapjes,"['bos', 'aap', 'jes']",3
gloeiend,"['gloei', 'end']",2
macrofauna,"['ma', 'cro', 'fau', 'na']",4
uiteenslaan,"['uit', 'een', 'slaan']",3
taverne,"['ta', 'ver', 'ne']",3
paardendressuur,"['paar', 'den', 'dres', 'suur']",4
flightcase,"['flight', 'case']",2
exoot,['exoot'],1
trompe-l'oeil,"['trom', ""pe-l'oeil""]",2
zwilk,['zwilk'],1
zongen uit,"['zon', 'gen', 'uit']",3
onderop,"['on', 'der', 'op']",3
opmaken,"['op', 'ma', 'ken']",3
Deventer,"['De', 'ven', 'ter']",3
dochterbedrijf,"['doch', 'ter', 'be', 'drijf']",4
retrospectief,"['re', 'tro', 'spec', 'tief']",4
witregel,"['wit', 're', 'gel']",3
veranda,"['ve', 'ran', 'da']",3
doorbakken,"['door', 'bak', 'ken']",3
gestuurd,"['ge', 'stuurd']",2
consideratie,"['con', 'si', 'de', 'ra', 'tie']",5
gitaargespeeld,"['gi', 'taar', 'ge', 'speeld']",4
onderverdeel,"['on', 'der', 'ver', 'deel']",4
politoer,"['po', 'li', 'toer']",3
acquireerde,"['ac', 'qui', 'reer', 'de']",4
schadde,"['schad', 'de']",2
deflatoirst,"['de', 'fla', 'toirst']",3
vruchtloost,"['vrucht', 'loost']",2
commissoriaals,"['com', 'mis', 'so', 'ri', 'aals']",5
Doornzele,"['Doorn', 'ze', 'le']",3
afgeserveerd,"['af', 'ge', 'ser', 'veerd']",4
K'iche',"[""K'i"", ""che'""]",2
onderstuttend,"['on', 'der', 'stut', 'tend']",4
soesa,"['soe', 'sa']",2
schietlapje,"['schiet', 'lap', 'je']",3
etalageartikeltje,"['eta', 'la', 'ge', 'ar', 'ti', 'kel', 'tje']",7
pramen,"['pra', 'men']",2
partieel,"['par', 'ti', 'eel']",3
voorjaar,"['voor', 'jaar']",2
mailde,"['mail', 'de']",2
internetgigant,"['in', 'ter', 'net', 'gi', 'gant']",5
vierlandenpunt,"['vier', 'lan', 'den', 'punt']",4
aanrolden,"['aan', 'rol', 'den']",3
Tontemboaans,"['Ton', 'tem', 'bo', 'aans']",4
cesium,"['ce', 'si', 'um']",3
buy-out,['buy-out'],1
bestempelde,"['be', 'stem', 'pel', 'de']",4
Betawi,"['Be', 'ta', 'wi']",3
vierentwintiguurseconomie,"['vier', 'en', 'twin', 'tig', 'uurs', 'eco', 'no', 'mie']",8
enger,"['en', 'ger']",2
grootzeil,"['groot', 'zeil']",2
zesenveertigjarigs,"['zes', 'en', 'veer', 'tig', 'ja', 'rigs']",6
gerangschikte,"['ge', 'rang', 'schik', 'te']",4
kunststof,"['kunst', 'stof']",2
drukbezocht,"['druk', 'be', 'zocht']",3
brekebeentje,"['bre', 'ke', 'been', 'tje']",4
lepeneut,"['le', 'pe', 'neut']",3
dikwandige,"['dik', 'wan', 'di', 'ge']",4
sacristiebel,"['sa', 'cris', 'tie', 'bel']",4
toverboekjes,"['to', 'ver', 'boek', 'jes']",4
claimcultuurtje,"['claim', 'cul', 'tuur', 'tje']",4
vaardigheid,"['vaar', 'dig', 'heid']",3
marteko,"['mar', 'te', 'ko']",3
aanmengen,"['aan', 'men', 'gen']",3
Kandahar,"['Kan', 'da', 'har']",3
folteren,"['fol', 'te', 'ren']",3
dak,['dak'],1
ethologie,"['etho', 'lo', 'gie']",3
tachtigste,"['tach', 'tig', 'ste']",3
alkylgroepen,"['al', 'kyl', 'groe', 'pen']",4
achtuurjournaal,"['acht', 'uur', 'jour', 'naal']",4
dikbekzaadkraker,"['dik', 'bek', 'zaad', 'kra', 'ker']",5
chirurg,"['chi', 'rurg']",2
pratter,"['prat', 'ter']",2
zwaargewichten,"['zwaar', 'ge', 'wich', 'ten']",4
sijfel,"['sij', 'fel']",2
fixeren,"['fixe', 'ren']",2
sneeuwpopje,"['sneeuw', 'pop', 'je']",3
vioolles,"['vi', 'ool', 'les']",3
vinnigers,"['vin', 'ni', 'gers']",3
sleedoorntje,"['slee', 'doorn', 'tje']",3
lekdorpel,"['lek', 'dor', 'pel']",3
driezen,"['drie', 'zen']",2
shockend,"['shoc', 'kend']",2
huidaandoeninkjes,"['huid', 'aan', 'doe', 'nin', 'kjes']",5
terbium,"['ter', 'bi', 'um']",3
affutagetjes,"['af', 'fu', 'ta', 'ge', 'tjes']",5
voorzien,"['voor', 'zien']",2
hakketeerde,"['hak', 'ke', 'teer', 'de']",4
taus,['taus'],1
coprocessor,"['co', 'pro', 'ces', 'sor']",4
herdersuurtje,"['her', 'ders', 'uur', 'tje']",4
overheid,"['over', 'heid']",2
Tachelhit,"['Ta', 'chel', 'hit']",3
overname,"['over', 'na', 'me']",3
Ramanspectroscopie,"['Ra', 'man', 'spec', 'tro', 'sco', 'pie']",6
broodautomaatjes,"['brood', 'au', 'to', 'maat', 'jes']",5
limiet,"['li', 'miet']",2
roette,"['roet', 'te']",2
diamantzwart,"['di', 'a', 'mant', 'zwart']",4
puntenrijbewijs,"['pun', 'ten', 'rij', 'be', 'wijs']",5
koerscorrectie,"['koers', 'cor', 'rec', 'tie']",4
kwabben,"['kwab', 'ben']",2
aanbrengst,"['aan', 'brengst']",2
schietlappen,"['schiet', 'lap', 'pen']",3
zevenhonderdzevenenveertigs,"['ze', 'ven', 'hon', 'derd', 'ze', 'ven', 'en', 'veer', 'tigs']",9
voedselketentje,"['voed', 'sel', 'ke', 'ten', 'tje']",5
spui,['spui'],1
klimaatscepticus,"['kli', 'maat', 'scep', 'ti', 'cus']",5
verjaren,"['ver', 'ja', 'ren']",3
lichtgelovigere,"['licht', 'ge', 'lo', 'vi', 'ge', 're']",6
polymeer,"['po', 'ly', 'meer']",3
hekboot,"['hek', 'boot']",2
meshouder,"['mes', 'hou', 'der']",3
driftige,"['drif', 'ti', 'ge']",3
roten,"['ro', 'ten']",2
wellusteling,"['wel', 'lus', 'te', 'ling']",4
partydrug,"['par', 'ty', 'drug']",3
royal,"['ro', 'yal']",2
watervrijste,"['wa', 'ter', 'vrij', 'ste']",4
honderdhoek,"['hon', 'derd', 'hoek']",3
tiende-eeuwers,"['tien', 'de-eeu', 'wers']",3
leasend,"['lea', 'send']",2
schuldvraag,"['schuld', 'vraag']",2
kwispelstaartte,"['kwis', 'pel', 'staart', 'te']",4
voorjaarsweer,"['voor', 'jaars', 'weer']",3
noordenwind,"['noor', 'den', 'wind']",3
mensjewiek,"['men', 'sje', 'wiek']",3
terrestrisch,"['ter', 'res', 'trisch']",3
gyroscopisch,"['gy', 'ro', 'sco', 'pisch']",4
pari,"['pa', 'ri']",2
gelijk,"['ge', 'lijk']",2
bosplan,"['bos', 'plan']",2
merendeel,"['me', 'ren', 'deel']",3
latentie,"['la', 'ten', 'tie']",3
huldigingsprogramma's,"['hul', 'di', 'gings', 'pro', 'gram', ""ma's""]",6
optimiste,"['op', 'ti', 'mis', 'te']",4
blokvormigers,"['blok', 'vor', 'mi', 'gers']",4
Kwanyama,"['Kwa', 'nya', 'ma']",3
zijklepmotor,"['zij', 'klep', 'mo', 'tor']",4
composteren,"['com', 'pos', 'te', 'ren']",4
gecollideerd,"['ge', 'col', 'li', 'deerd']",4
kater,"['ka', 'ter']",2
balsemappel,"['bal', 'sem', 'ap', 'pel']",4
planktonnet,"['plank', 'ton', 'net']",3
afgehaald,"['af', 'ge', 'haald']",3
doorlopen,"['door', 'lo', 'pen']",3
aanknoeien,"['aan', 'knoei', 'en']",3
parkeert uit,"['par', 'keert', 'uit']",3
globale,"['glo', 'ba', 'le']",3
insecteneter,"['in', 'sec', 'ten', 'eter']",4
ergeren,"['er', 'ge', 'ren']",3
versierpoginkje,"['ver', 'sier', 'po', 'gin', 'kje']",5
gift,['gift'],1
biradiale,"['bi', 'ra', 'di', 'a', 'le']",5
hiphop,"['hip', 'hop']",2
onverenigbaar,"['on', 'ver', 'enig', 'baar']",4
doorronkend,"['door', 'ronkend']",2
cisvet,"['cis', 'vet']",2
apothema,"['apo', 'the', 'ma']",3
theeceremonie,"['thee', 'ce', 're', 'mo', 'nie']",5
omlooptijden,"['om', 'loop', 'tij', 'den']",4
agglomeratie,"['ag', 'glo', 'me', 'ra', 'tie']",5
taalkundig,"['taal', 'kun', 'dig']",3
afrekenstations,"['af', 're', 'ken', 'sta', 'ti', 'ons']",6
maning,"['ma', 'ning']",2
leugentjes,"['leu', 'gen', 'tjes']",3
hegemoniaals,"['he', 'ge', 'mo', 'ni', 'aals']",5
remafstand,"['rem', 'af', 'stand']",3
Looienaartje,"['Looi', 'enaar', 'tje']",3
vredeskans,"['vre', 'des', 'kans']",3
lichtgas,"['licht', 'gas']",2
wintervacht,"['win', 'ter', 'vacht']",3
Californië,"['Ca', 'li', 'for', 'nië']",4
buikspreken,"['buik', 'spre', 'ken']",3
cumulverboden,"['cu', 'mul', 'ver', 'bo', 'den']",5
schrijnend,"['schrij', 'nend']",2
schurk,['schurk'],1
kalkte af,"['kalk', 'te', 'af']",3
samenvatting,"['sa', 'men', 'vat', 'ting']",4
artefact,"['ar', 'te', 'fact']",3
duitje,"['duit', 'je']",2
ransel,"['ran', 'sel']",2
contrapunt,"['con', 'tra', 'punt']",3
accuschroevendraaier,"['ac', 'cu', 'schroe', 'ven', 'draai', 'er']",6
schonkigers,"['schon', 'ki', 'gers']",3
aartskanselier,"['aarts', 'kan', 'se', 'lier']",4
topbanen,"['top', 'ba', 'nen']",3
teint,['teint'],1
terstond,"['ter', 'stond']",2
herindelen,"['her', 'in', 'de', 'len']",4
lotjes,"['lot', 'jes']",2
afvalrace,"['af', 'val', 'race']",3
aanhechtingen,"['aan', 'hech', 'tin', 'gen']",4
gierstkoorts,"['gierst', 'koorts']",2
taaiheid,"['taai', 'heid']",2
zeehoofd,"['zee', 'hoofd']",2
milkshakes,"['milk', 'shakes']",2
zuring,"['zu', 'ring']",2
doeg,['doeg'],1
reden,"['re', 'den']",2
wiens,['wiens'],1
webdesign,"['web', 'de', 'sign']",3
verwerpen,"['ver', 'wer', 'pen']",3
scheepswerven,"['scheeps', 'wer', 'ven']",3
